ID,age,profile_gender,tprofile_GOR,profile_education_level,tprofile_gross_household,ethnicity_R,tparent_1,tparent_2,tparent_97,tparent_98,Vote2019R,pastvote_EURef,new_socgrade,politics_scale_profile_update,respdate,W8,page1consentq,page2values1,page2values1_1,page2values1_2,page2values1_3,page2values1_4,page2values1_5,page2values1_6,page2values1_7,page2values1_8,page2values1_9,page2values1a,page2values1a_1,page2values1a_2,page2values1a_3,page2values1a_4,page2values1a_5,page2values1a_6,page2values1a_7,page2values1a_8,page2values1a_9,page3_splitgroups,page3vid_control,page3vid_threat,page3vid_hope,page3vid_justice,page4posttreatment1,page4posttreatment1_1,page4posttreatment1_2,page4posttreatment1_3,page4posttreatment1_4,page4posttreatment2,page4posttreatment2_1,page4posttreatment2_2,page4posttreatment2_3,page4posttreatment2_4,page4posttreatment2_5,page4posttreatment2_6,page4posttreatment3,page4posttreatment3_1,page4posttreatment3_2,page4posttreatment3_3,page4posttreatment3_4,page4posttreatment3_5,page4posttreatment3_6,page4posttreatment3_7,page4posttreatment3_8,page4posttreatment3_9,page4posttreatment3_10,page4posttreatment3_11,page4posttreatment3_12,page4posttreatment3_13,page4posttreatment3_14,page4posttreatment3_15,page4posttreatment3_16,page4posttreatment3_17,page4posttreatment3_18,page4posttreatment3_19,page4posttreatment3_20,page4posttreatment5,page4posttreatment5_1,page4posttreatment5_2,page4posttreatment5_3,page4posttreatment5_4,page4posttreatment5_5,page4posttreatment5_6,page5posttreatment6,page5posttreatment6_1,page5posttreatment6_2,page5posttreatment6_3,page5posttreatment6_4,page5posttreatment6_5,page5posttreatment6_6,page5posttreatment6_7,page5posttreatment6_8,page5posttreatment6_9,page5posttreatment6_10,page5posttreatment6_11,page5posttreatment6_12,page5posttreatment7_1,page5posttreatment7_2,page5posttreatment7_3,page5posttreatment7_4,page5posttreatment7_5,page5posttreatment7_6,page5posttreatment7_7,page5posttreatment7_8,page6posttreatment8,page6posttreatment8_1,page6posttreatment8_2,page6posttreatment8_3,page6posttreatment9scale,page6posttreatment9scale_strangers,page6posttreatment9ascale,page6posttreatment9ascale_government,page6posttreatment9bscale,page6posttreatment9bscale_parliament,page6posttreatment10,page6posttreatment10_1,page6posttreatment10_2,page6posttreatment10_3,page6posttreatment10_4,page6posttreatment10_5,page6posttreatment10_6,page6posttreatment11,page6posttreatment11_1,page6posttreatment11_2,page6posttreatment11_3,page6posttreatment11_4,page6posttreatment11_5,page6posttreatment11_6
289,77,1,11,3,4,1,2,1,2,2,2,1,2,2,4/23/2024,.947745108,1,1,4,5,6,5,5,6,5,4,4,1,5,5,5,5,4,4,4,4,4,4,-9,-9,-9,1,1,9,9,10,6,1,5,5,4,4,6,4,1,2,2,6,6,5,2,2,2,4,4,5,7,4,3,6,7,6,1,6,6,1,2,3,2,5,6,2,1,6,1,3,3,4,4,5,3,5,4,6,3,2,1,2,1,2,1,2,2,1,5,1,7,1,7,1,3,1,3,1,1,3,3,4,4,4,1,6,5,5,7,4,6
290,58,2,11,15,5,1,2,1,2,2,6,2,1,5,4/24/2024,.967719376,1,1,6,6,6,3,4,5,6,2,4,1,5,1,5,5,5,4,4,3,3,4,-9,-9,-9,1,1,11,11,9,6,1,1,1,1,1,7,7,1,1,1,7,7,4,2,6,4,5,4,7,6,1,2,7,6,1,2,6,7,1,2,2,2,2,7,5,1,7,2,1,7,6,1,7,1,7,1,7,1,1,1,1,1,1,1,2,2,1,2,2,7,1,3,1,0,1,997,1,3,4,3,3,3,3,1,7,6,4,6,1,7
291,81,1,4,9,7,1,2,2,1,2,1,2,1,6,4/24/2024,1.71480524,1,1,4,4,6,5,4,3,4,1,3,1,4,5,4,5,1,3,1,2,2,4,-9,-9,-9,1,1,5,5,10,8,1,5,4,3,4,2,4,1,4,4,4,5,6,6,2,4,6,6,1,4,6,2,3,5,4,5,4,6,1,6,6,5,5,6,1,1,6,2,4,3,2,4,7,3,3,4,2,3,2,1,2,1,2,2,2,2,1,3,3,7,1,4,1,5,1,5,1,5,5,3,4,3,4,1,2,4,4,5,2,3
292,80,1,7,16,17,1,2,2,1,2,2,1,1,2,4/23/2024,.410458393,1,1,6,6,3,2,5,4,5,2,3,1,2,2,4,5,3,3,3,5,5,2,-9,1,-9,-9,1,10,4,9,3,1,5,5,7,5,4,2,1,3,3,6,7,4,2,6,5,4,6,3,3,3,5,6,4,3,2,6,6,1,5,3,4,5,5,2,1,7,1,2,2,6,1,6,1,5,1,4,1,2,2,2,1,2,1,2,2,1,3,1,2,1,4,1,3,1,5,1,3,3,3,4,4,4,1,3,4,3,5,2,3
293,77,2,7,9,4,1,2,2,1,2,1,2,1,4,4/24/2024,1.811880765,1,1,6,5,5,6,6,5,5,4,5,1,5,5,5,6,5,5,4,4,4,2,-9,1,-9,-9,1,8,8,8,8,1,3,3,4,2,5,4,1,2,3,5,7,6,5,2,2,5,3,3,3,5,5,6,5,3,3,5,5,1,5,6,5,3,6,3,1,5,6,5,3,2,6,6,3,3,5,2,3,2,2,1,2,2,2,2,2,1,2,5,5,1,7,1,7,1,7,1,1,5,1,1,1,1,1,6,5,2,5,3,3
294,74,1,11,18,3,1,2,1,2,2,1,2,2,5,4/24/2024,1.289777836,1,1,4,3,4,5,4,3,4,2,2,1,4,3,4,3,3,2,2,2,2,1,1,-9,-9,-9,1,7,6,7,6,1,2,3,2,3,3,4,1,3,3,5,6,6,5,2,3,5,5,3,6,3,2,6,5,4,4,4,4,1,4,5,3,3,4,2,1,3,3,4,2,2,4,5,2,3,5,3,4,2,2,2,2,2,2,1,2,1,6,6,6,1,997,1,3,1,3,1,3,3,3,3,5,3,1,4,5,4,5,2,5
295,55,2,6,16,17,1,2,1,2,2,7,1,1,4,4/24/2024,.398804271,1,1,5,5,5,5,6,6,5,2,2,1,6,4,5,5,2,2,2,2,2,3,-9,-9,1,-9,1,6,7,8,6,1,4,4,4,4,4,5,1,3,3,5,6,5,4,2,2,4,2,5,3,4,3,6,6,4,3,5,6,1,4,2,3,4,5,4,1,6,2,4,6,4,3,5,2,6,2,4,2,1,2,2,2,2,1,2,2,1,2,2,7,1,5,1,3,1,6,1,3,4,3,3,3,3,1,4,3,3,5,3,4
296,84,1,11,5,5,1,2,1,2,2,1,1,2,5,4/24/2024,1.054751586,1,1,4,4,5,5,4,4,3,2,4,1,3,3,3,3,3,3,3,3,3,1,1,-9,-9,-9,1,3,3,3,4,1,4,4,4,4,4,4,1,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,5,1,2,6,7,2,1,1,2,6,2,6,2,7,2,2,2,2,2,2,1,2,1,5,5,6,1,8,1,8,1,8,1,1,1,1,3,1,2,1,6,6,6,6,6,6
297,78,1,9,16,17,1,2,1,2,2,5,1,1,4,4/24/2024,1.294526307,1,1,6,6,5,6,4,3,6,3,3,1,4,5,4,4,4,5,2,4,5,2,-9,1,-9,-9,1,11,9,9,6,1,5,4,4,2,6,7,1,1,2,7,7,6,4,2,2,6,7,1,1,4,4,7,6,6,5,4,4,1,2,6,4,2,3,7,1,7,1,1,7,4,3,7,1,4,1,5,5,1,1,1,2,2,2,2,2,1,5,1,6,1,4,1,0,1,2,1,3,4,3,3,4,3,1,5,5,2,6,4,4
298,64,2,9,16,6,1,2,1,2,2,3,1,1,4,4/23/2024,.925108484,1,1,3,4,2,2,3,3,4,3,4,1,2,2,3,3,5,3,3,3,5,2,-9,1,-9,-9,1,6,7,6,5,1,2,4,3,1,2,3,1,2,1,5,6,4,3,5,4,5,5,4,3,5,5,4,4,5,4,4,5,1,3,3,3,5,5,4,1,6,1,3,4,5,3,5,2,4,2,4,1,2,1,2,2,2,1,2,2,1,5,3,5,1,5,1,3,1,3,1,3,3,3,4,1,1,1,2,4,3,4,3,3
299,53,1,3,9,5,2,2,1,2,2,7,2,1,4,4/24/2024,2.487896818,1,1,3,4,6,5,6,3,4,4,3,1,4,4,6,5,5,4,4,4,4,2,-9,1,-9,-9,1,11,1,1,1,1,7,1,1,1,5,7,1,5,4,5,5,4,5,6,4,4,3,4,4,3,5,4,5,5,6,4,7,1,4,4,4,5,6,5,1,4,4,4,4,7,4,4,4,4,4,4,4,2,2,2,2,2,2,1,2,1,4,6,1,1,997,1,997,1,0,1,3,4,4,3,3,3,1,4,4,4,4,5,5
300,84,1,7,18,17,1,2,1,2,2,1,2,1,3,4/24/2024,.906087398,1,1,3,3,3,4,4,3,4,1,3,1,4,3,4,4,1,1,1,1,1,1,1,-9,-9,-9,1,5,7,8,7,1,2,4,1,5,6,6,1,1,1,1,5,5,2,2,2,5,5,3,4,5,3,6,5,4,2,5,6,1,2,6,4,5,5,1,1,5,3,4,5,6,4,2,4,3,3,5,5,1,2,2,2,2,2,2,2,1,5,2,7,1,997,1,0,1,0,1,4,4,3,4,4,4,1,4,3,3,6,3,1
301,69,2,11,16,17,1,2,1,2,2,6,1,2,1,4/23/2024,1.333253008,1,1,6,6,4,3,6,6,6,3,2,1,2,3,6,6,6,5,1,1,3,2,-9,1,-9,-9,1,11,4,11,3,1,1,3,1,1,7,7,1,1,2,6,6,3,1,5,5,2,1,6,1,2,1,7,6,2,2,7,7,1,3,2,2,6,6,4,1,7,1,2,5,2,6,5,4,7,3,4,7,2,2,1,1,2,1,2,2,1,5,1,7,1,5,1,2,1,3,1,3,4,3,3,3,3,1,2,2,2,5,2,2
302,79,1,8,18,4,1,2,1,2,2,1,1,1,4,4/23/2024,.727560543,1,1,5,2,6,2,5,5,5,2,2,1,6,3,6,6,3,2,1,1,2,3,-9,-9,1,-9,1,9,5,10,7,1,1,4,1,4,5,7,1,1,1,5,6,7,2,4,2,5,2,6,7,1,1,7,7,4,4,7,7,1,1,1,1,4,7,1,1,6,4,3,5,5,3,6,2,4,3,3,4,2,2,1,1,2,2,2,2,1,6,1,7,1,6,1,2,1,5,1,3,3,3,3,3,5,1,4,3,3,4,3,1
303,76,2,6,5,4,5,2,1,2,2,1,2,1,8,4/23/2024,5.50320808,1,1,6,6,4,3,6,5,4,1,2,1,5,4,6,6,2,2,1,2,2,4,-9,-9,-9,1,1,6,6,7,7,1,2,1,1,1,7,7,1,1,3,6,6,4,2,3,5,5,5,6,5,3,3,7,6,2,3,5,5,1,2,6,3,5,4,5,1,4,5,4,4,1,6,7,1,2,2,1,2,1,2,1,2,2,2,2,2,1,7,2,3,1,7,1,5,1,3,1,5,5,3,3,5,4,1,1,1,1,5,1,5
304,75,1,2,16,7,1,2,2,1,2,3,1,1,3,4/23/2024,.698173419,1,1,5,5,3,5,4,6,6,1,6,1,5,3,6,6,4,5,4,5,5,3,-9,-9,1,-9,1,11,6,9,8,1,5,6,6,4,4,5,1,2,2,7,7,4,3,3,5,4,5,7,7,5,1,5,7,6,2,7,7,1,5,5,1,6,4,1,1,6,1,3,5,3,4,5,1,5,4,5,2,2,2,2,1,1,2,2,2,1,2,1,2,1,997,1,4,1,5,1,3,4,3,4,3,3,1,5,5,4,6,5,2
305,64,1,11,18,5,1,2,1,2,2,1,2,2,5,4/24/2024,.95482372,1,1,4,5,5,6,6,3,6,5,5,1,6,5,5,4,5,4,3,4,5,4,-9,-9,-9,1,1,4,4,4,4,1,7,2,7,4,1,2,1,1,1,7,7,6,5,4,3,7,7,7,7,6,7,5,2,6,7,2,1,1,7,7,6,5,7,1,1,2,7,6,1,1,1,6,1,1,7,1,7,2,2,2,2,2,2,1,2,1,7,2,1,1,7,1,0,1,0,1,3,4,3,4,4,4,1,2,2,2,5,1,2
306,69,2,3,17,5,1,2,2,1,2,1,1,2,8,4/26/2024,1.075128676,1,1,6,5,5,4,6,5,6,3,2,1,4,5,6,5,5,5,2,3,4,3,-9,-9,1,-9,1,8,8,10,6,1,2,4,2,3,6,6,1,4,3,5,5,4,3,4,4,6,6,3,3,3,1,6,5,5,3,5,5,1,3,4,3,6,3,4,1,6,3,5,1,1,6,2,1,2,5,5,1,2,2,1,2,2,1,2,2,1,6,5,1,1,3,1,0,1,1,1,5,3,3,3,5,3,1,7,7,7,7,7,5
307,76,1,1,16,9,1,2,1,2,2,1,1,2,5,4/23/2024,.681249973,1,1,5,4,5,5,6,6,6,4,2,1,4,5,6,4,5,4,2,2,3,3,-9,-9,1,-9,1,3,3,3,3,1,1,5,5,5,1,4,1,4,6,5,5,6,3,3,2,6,6,2,2,3,5,5,6,3,4,5,6,1,1,2,3,4,7,1,1,4,4,6,1,1,5,7,5,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,7,1,6,1,6,1,7,1,1,1,2,3,3,5,1,1,3,2,4,2,1
308,66,1,10,3,5,1,2,1,2,2,7,3,2,6,4/23/2024,.56044462,1,1,5,5,5,4,3,4,4,3,2,1,5,5,3,5,2,6,1,2,1,1,1,-9,-9,-9,1,8,8,9,7,1,1,3,5,5,5,6,1,1,2,7,7,5,2,3,3,3,3,6,5,3,5,7,7,3,3,5,6,1,4,3,3,5,5,4,1,5,3,6,3,5,4,6,5,5,5,5,1,2,2,2,2,2,2,1,2,1,7,5,2,1,3,1,1,1,2,1,2,3,2,4,3,4,1,3,5,3,7,5,3
309,28,1,1,18,9,1,2,2,1,2,1,1,1,5,4/23/2024,.693272436,1,1,3,3,5,3,3,3,3,4,4,1,2,4,4,2,4,3,4,4,4,4,-9,-9,-9,1,1,4,3,2,4,1,4,4,6,6,2,3,1,2,3,6,7,6,4,2,2,5,6,3,3,6,3,5,6,6,5,3,5,1,1,6,4,6,7,1,1,5,3,7,1,1,7,1,4,2,7,1,5,2,2,2,2,2,2,1,2,1,3,1,4,1,5,1,6,1,2,1,1,1,1,1,1,3,1,3,3,5,5,3,2
310,29,2,3,19,2,2,2,2,1,2,5,4,2,8,4/24/2024,.445579171,1,1,4,4,1,2,3,4,5,2,2,1,2,3,5,3,1,4,1,1,1,3,-9,-9,1,-9,1,7,7,8,5,1,4,1,1,1,4,4,1,2,2,4,7,5,3,3,2,6,6,4,2,1,5,4,7,4,4,6,7,1,4,5,3,7,7,5,1,5,4,4,4,4,4,5,2,4,4,4,4,1,1,1,2,2,2,2,2,1,2,5,6,1,997,1,2,1,2,1,1,1,3,2,5,2,1,4,5,4,5,6,6
311,62,2,9,6,7,1,2,1,2,2,1,2,2,5,4/26/2024,.890721507,1,1,5,5,4,4,5,6,6,2,3,1,4,4,6,5,2,4,1,3,5,4,-9,-9,-9,1,1,9,6,9,8,1,1,6,4,2,4,3,1,1,2,5,7,5,1,2,2,4,5,5,5,2,1,7,7,4,2,6,7,1,4,2,1,6,5,5,1,6,1,5,4,5,4,6,2,4,6,4,3,2,1,1,2,2,2,2,2,1,3,2,7,1,3,1,5,1,5,1,3,4,3,3,1,3,1,5,7,6,5,1,1
312,62,2,2,4,1,1,2,1,2,2,7,1,2,5,4/24/2024,1.835202939,1,1,3,4,5,4,3,3,2,2,1,1,5,5,3,3,1,2,1,1,1,4,-9,-9,-9,1,1,8,8,9,7,1,4,5,6,4,3,4,1,3,3,5,6,7,6,3,3,6,5,3,4,5,5,5,5,4,5,4,3,1,4,7,6,4,5,6,1,7,2,3,5,4,4,7,1,3,4,4,3,2,1,1,1,2,2,2,2,1,5,3,6,1,8,1,5,1,5,1,3,3,3,3,3,3,1,4,6,4,3,2,4
313,63,2,5,17,4,1,2,2,1,2,2,1,1,3,4/23/2024,.674290113,1,1,6,6,6,5,6,6,5,2,2,1,5,5,6,6,1,4,1,2,4,4,-9,-9,-9,1,1,11,7,10,6,1,5,6,4,1,7,7,1,2,2,6,6,5,4,4,4,6,5,3,6,5,3,6,7,3,3,6,7,1,2,4,4,4,5,4,1,7,3,4,5,3,4,5,4,5,3,5,3,2,1,1,2,2,1,2,2,1,2,4,5,1,7,1,3,1,3,1,4,3,3,4,4,3,1,4,7,6,7,6,6
314,68,2,6,9,17,1,2,1,2,2,1,2,2,5,4/23/2024,1.414208941,1,1,6,6,5,5,6,6,6,1,1,1,4,6,6,6,6,6,1,1,2,4,-9,-9,-9,1,1,8,7,6,6,1,3,5,2,4,2,4,1,2,3,5,5,5,4,2,1,7,7,2,3,1,1,5,7,4,3,5,7,1,2,3,1,4,6,2,1,6,5,5,3,1,6,7,3,4,4,1,5,1,1,1,1,2,1,2,2,1,2,5,7,1,9,1,8,1,8,1,5,3,3,1,1,3,1,2,1,3,7,1,1
315,50,1,9,11,7,1,2,2,1,2,1,2,2,7,4/24/2024,1.244804143,1,1,5,5,4,5,4,4,6,4,4,1,5,5,5,5,4,5,4,5,5,1,1,-9,-9,-9,1,3,2,3,8,1,4,5,3,4,4,4,1,5,5,4,4,5,3,3,3,7,7,4,3,4,5,4,4,5,4,4,4,1,4,4,5,4,6,4,1,5,2,4,2,1,7,4,4,4,4,4,5,2,1,2,2,2,2,2,2,1,2,2,6,1,6,1,7,1,6,1,1,1,1,1,1,1,1,5,3,5,5,5,4
316,24,1,5,16,9,1,2,2,1,2,3,3,1,3,4/24/2024,1.208344942,1,1,5,5,4,2,3,6,6,3,4,1,5,3,4,5,5,3,5,3,3,2,-9,1,-9,-9,1,9,5,8,4,1,2,2,5,3,2,3,1,1,2,6,7,5,2,4,4,7,7,1,2,2,2,7,6,3,3,5,7,1,2,2,6,6,4,5,1,7,1,1,7,6,1,6,1,7,2,5,2,2,1,2,2,2,1,2,2,1,2,5,2,1,3,1,3,1,5,1,3,3,4,1,3,1,1,2,3,5,5,5,2
317,38,1,7,15,13,4,1,2,2,2,1,1,1,6,4/23/2024,.421541932,1,1,5,5,4,5,6,5,5,5,5,1,4,5,5,5,6,5,5,4,4,1,1,-9,-9,-9,1,8,6,7,8,1,4,3,5,2,3,3,1,6,5,5,5,4,6,6,5,6,5,5,5,5,5,3,5,6,2,5,6,1,5,4,2,6,5,6,1,5,5,4,5,5,3,4,4,5,4,5,3,1,2,1,2,2,1,2,2,1,5,2,1,1,4,1,3,1,2,1,2,3,2,2,2,2,1,5,5,5,2,5,4
318,49,2,6,8,5,2,1,2,2,2,7,2,2,3,4/24/2024,.747405474,1,1,5,6,6,5,6,6,4,4,4,1,4,4,5,5,4,5,2,3,3,3,-9,-9,1,-9,1,11,3,7,5,1,6,1,1,4,2,4,1,1,1,6,7,5,3,1,4,7,7,4,2,1,1,7,7,4,2,6,6,1,1,1,1,7,4,5,1,7,2,1,7,1,3,7,1,6,4,4,2,2,2,1,2,1,1,2,2,1,7,6,6,1,2,1,0,1,0,1,3,3,4,1,1,4,1,7,7,7,6,7,7
319,43,2,7,9,17,2,1,1,2,2,2,1,2,2,4/24/2024,.785105048,1,1,5,4,5,5,5,5,5,2,2,1,2,4,4,4,4,4,2,2,2,2,-9,1,-9,-9,1,11,6,11,2,1,4,4,4,4,4,4,1,1,1,6,7,5,4,4,4,5,5,4,4,1,1,7,7,4,2,6,7,1,1,1,1,1,4,1,1,4,4,4,4,4,4,4,4,4,5,4,3,2,2,2,2,2,2,1,2,1,7,6,7,1,4,1,0,1,0,1,5,5,5,2,2,2,1,6,7,6,6,6,2
320,71,2,9,11,2,1,2,1,2,2,3,1,2,4,4/26/2024,.898275234,1,1,6,6,6,6,6,5,6,1,2,1,2,6,6,6,4,6,1,1,3,1,1,-9,-9,-9,1,6,4,4,8,1,7,4,7,1,1,7,1,1,1,3,5,7,7,1,1,7,7,4,4,7,7,1,3,7,7,1,1,1,7,7,5,4,3,4,1,7,1,4,3,1,4,7,2,6,4,1,7,2,1,1,1,2,2,2,2,1,7,1,7,1,6,1,1,1,1,1,1,3,3,4,4,4,1,5,3,5,5,4,7
321,72,2,9,16,3,1,2,1,2,2,2,1,1,3,4/24/2024,.693376038,1,1,6,6,4,2,6,6,6,3,3,1,6,3,6,6,4,5,2,2,3,1,1,-9,-9,-9,1,11,4,11,2,1,1,1,1,1,7,7,1,1,1,6,7,4,2,4,4,5,5,7,7,4,1,7,7,7,1,7,7,1,2,1,1,6,2,5,1,7,1,1,7,7,2,7,1,6,2,4,2,1,1,1,1,1,2,2,2,1,2,3,6,1,8,1,0,1,1,1,4,4,4,4,4,3,1,4,5,2,5,2,4
322,63,2,10,16,11,1,2,1,2,2,6,1,1,2,4/23/2024,.898990082,1,1,3,4,3,4,4,4,5,3,3,1,4,4,3,6,3,3,2,3,3,3,-9,-9,1,-9,1,8,9,8,8,1,3,5,4,4,4,4,1,1,2,6,7,6,5,2,2,2,2,6,7,2,1,6,6,2,2,6,7,1,2,2,2,4,4,5,1,7,1,2,6,6,2,6,1,6,1,6,1,2,1,1,2,2,1,2,2,1,1,1,3,1,7,1,0,1,3,1,4,3,2,3,1,3,1,4,5,5,5,5,2
323,59,2,7,17,17,1,2,2,1,2,2,1,1,1,4/23/2024,.928535733,1,1,6,6,2,2,6,6,6,2,2,1,2,2,6,6,6,4,1,3,3,2,-9,1,-9,-9,1,11,6,11,7,1,3,1,3,1,6,6,1,1,1,5,6,2,1,5,4,3,4,5,6,1,1,7,7,1,1,7,7,1,1,1,1,4,6,1,1,7,1,1,7,7,1,7,1,6,1,7,7,2,1,1,1,2,1,2,2,1,5,1,5,1,7,1,1,1,4,1,3,3,3,4,3,4,1,1,4,1,4,2,4
324,31,1,7,16,14,1,2,2,1,2,1,1,1,6,4/24/2024,1.076277743,1,1,2,3,6,6,4,2,5,3,5,1,6,6,4,2,2,5,6,5,5,3,-9,-9,1,-9,1,1,2,2,4,1,7,7,7,7,1,1,1,6,5,3,3,7,7,2,2,5,5,3,3,7,7,2,2,7,6,2,2,1,7,7,7,4,3,4,1,5,5,6,3,1,7,3,5,5,4,2,3,1,2,2,2,2,2,2,2,1,5,2,5,1,7,1,8,1,5,1,1,1,1,1,1,1,1,2,5,5,5,3,1
325,72,2,11,4,3,1,2,1,2,2,1,2,1,6,4/24/2024,1.412687363,1,1,6,6,4,5,4,6,6,2,2,1,6,3,6,6,6,3,2,2,2,2,-9,1,-9,-9,1,9,9,11,8,1,1,1,1,1,7,7,1,5,5,5,6,5,5,7,4,7,7,4,3,1,1,7,7,6,1,7,7,1,4,5,2,7,6,5,1,7,1,1,6,7,2,7,1,6,1,6,2,1,1,1,1,2,1,2,2,1,5,5,7,1,7,1,7,1,7,1,4,4,4,4,4,4,1,5,3,1,5,2,2
326,50,2,10,17,1,1,2,2,1,2,2,1,1,1,4/24/2024,.891943369,1,1,5,5,1,1,5,6,4,4,2,1,2,1,5,5,5,4,2,1,3,4,-9,-9,-9,1,1,9,3,8,3,1,2,2,2,1,5,6,1,1,1,7,7,1,2,6,6,2,2,6,6,2,1,6,7,2,1,7,6,1,1,1,1,3,6,3,1,6,4,2,7,6,1,6,1,6,1,7,1,1,1,1,1,2,2,2,2,1,3,2,5,1,6,1,1,1,0,1,3,3,3,4,3,4,1,2,2,2,5,2,6
327,43,1,8,17,13,1,1,2,2,2,3,1,1,3,4/23/2024,.593994159,1,1,3,4,3,2,6,5,6,2,3,1,4,2,5,4,6,5,3,1,2,3,-9,-9,1,-9,1,3,3,4,5,1,4,6,7,6,1,4,1,3,5,6,7,3,2,5,5,3,3,4,4,2,1,6,6,6,2,5,5,1,1,2,2,4,5,1,1,5,1,7,1,4,4,4,3,6,2,4,2,1,1,1,2,2,2,2,2,1,3,1,5,1,7,1,4,1,6,1,5,3,3,5,5,5,1,3,3,5,3,6,1
328,80,1,6,11,6,1,2,2,1,2,1,2,1,4,4/24/2024,1.064099831,1,1,6,6,2,3,4,5,4,2,3,1,3,3,3,5,5,4,2,2,2,1,1,-9,-9,-9,1,9,5,8,5,1,2,5,2,2,4,2,1,2,2,5,6,4,2,3,2,3,4,5,5,3,4,6,6,6,4,5,5,1,4,5,2,4,4,2,1,7,2,2,2,2,1,6,2,5,1,6,4,1,1,1,1,1,1,2,2,1,5,2,5,1,5,1,4,1,4,1,4,4,4,3,3,3,1,5,5,4,5,4,4
329,48,2,11,17,6,1,1,2,2,2,7,2,1,4,4/25/2024,.580042735,1,1,6,6,6,5,5,6,6,4,5,1,2,2,3,6,5,5,2,1,2,4,-9,-9,-9,1,1,8,6,8,7,1,3,1,3,2,4,7,1,2,2,6,6,6,3,3,4,4,4,4,4,6,6,6,4,6,4,5,6,1,6,4,4,4,4,5,1,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,2,2,2,2,2,1,6,4,6,1,5,1,2,1,2,1,1,5,5,5,5,5,1,2,4,2,5,1,6
330,62,1,10,7,4,1,2,1,2,2,7,2,1,8,4/24/2024,.659248723,1,1,3,3,5,1,5,4,5,3,1,1,1,1,6,6,5,3,1,1,1,4,-9,-9,-9,1,1,11,11,1,1,1,7,7,7,7,1,1,1,1,1,7,7,1,1,7,7,7,7,7,4,4,4,7,7,4,4,4,4,1,1,6,1,1,1,1,1,1,3,1,1,1,7,1,4,1,7,1,4,2,2,2,2,2,2,1,2,1,1,4,1,1,5,1,0,1,0,1,1,1,1,1,1,2,1,6,6,7,7,4,2
331,35,2,11,17,9,1,2,2,1,2,2,1,1,1,4/23/2024,.665043135,1,1,6,6,3,1,6,6,5,4,4,1,3,4,6,6,2,4,4,4,4,1,1,-9,-9,-9,1,11,5,11,3,1,4,1,6,1,7,7,1,2,1,6,6,5,1,5,6,6,5,7,7,1,1,7,7,2,1,7,7,1,1,1,1,2,5,5,1,7,1,1,7,7,1,7,1,7,1,7,1,1,1,1,1,1,1,2,2,1,6,3,2,1,6,1,0,1,0,1,3,3,4,3,1,3,1,2,5,5,5,5,4
332,56,1,11,11,12,1,2,2,1,2,7,1,1,2,4/24/2024,.544887808,1,1,5,4,4,1,4,5,6,3,2,1,2,3,4,5,4,4,2,1,1,2,-9,1,-9,-9,1,6,6,7,6,1,2,2,3,2,5,6,1,2,3,5,6,4,2,4,4,3,3,6,6,2,1,6,6,4,3,5,6,1,4,3,2,5,4,5,1,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,2,2,2,2,2,1,5,5,5,1,5,1,2,1,5,1,3,5,5,4,5,5,1,3,3,3,6,2,4
333,73,2,10,17,14,1,2,1,2,2,3,1,1,3,4/24/2024,.869848956,1,1,6,6,2,2,6,6,6,3,3,1,2,2,5,6,5,6,1,1,2,2,-9,1,-9,-9,1,11,8,10,3,1,1,4,1,1,7,7,1,2,2,6,7,4,2,5,4,4,3,4,6,3,1,6,4,5,3,6,6,1,3,2,2,4,6,5,1,6,4,2,5,4,2,7,1,6,1,6,2,2,1,1,1,2,2,2,2,1,6,1,4,1,8,1,0,1,1,1,3,4,4,3,4,3,1,2,2,2,5,2,1
334,83,1,8,16,7,2,2,1,2,2,2,1,1,3,4/25/2024,.451090887,1,1,5,5,4,5,5,5,5,3,4,1,5,4,6,6,4,4,3,3,3,3,-9,-9,1,-9,1,9,8,10,5,1,1,5,1,1,7,7,1,2,5,5,7,4,1,4,5,5,5,5,3,1,1,7,7,1,1,7,7,1,6,2,2,5,7,1,1,7,1,2,7,7,1,7,1,6,1,6,1,1,1,2,1,2,1,2,2,1,1,1,2,1,4,1,2,1,7,1,5,1,1,1,1,1,1,2,2,1,5,1,7
335,38,2,3,16,11,1,2,2,1,2,5,1,1,5,4/23/2024,.527400724,1,1,5,5,2,2,5,5,6,5,5,1,3,2,4,3,6,3,4,4,4,4,-9,-9,-9,1,1,7,5,7,8,1,4,7,4,4,5,4,1,1,2,6,6,2,3,6,5,2,3,5,5,4,4,5,5,4,2,4,4,1,3,1,2,5,5,6,1,7,4,7,5,7,6,6,7,7,3,4,4,1,1,2,1,2,2,2,2,1,6,2,2,1,6,1,0,1,1,1,4,4,5,2,2,2,1,5,5,6,3,5,3
